PID: 5, Nombre: kworker/R-sync_wq, CPU: 1, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.20, Turnaround: 8.20, Waiting: 7.20
PID: 6, Nombre: kworker/R-kvfree_rcu_reclaim, CPU: 2, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.20, Turnaround: 8.20, Waiting: 7.20
PID: 7, Nombre: kworker/R-slub_flushwq, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.20, Turnaround: 8.20, Waiting: 7.20
PID: 8, Nombre: kworker/R-netns, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.20, Turnaround: 8.20, Waiting: 7.20
PID: 10, Nombre: kworker/0:0H-events_highpri, CPU: 1, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.30, Turnaround: 8.30, Waiting: 7.30
PID: 11, Nombre: kworker/0:1-events, CPU: 2, CPU Time: 2.41, Arrival: 1969-12-31 19:00:00, Completion: 8.30, Turnaround: 8.30, Waiting: 5.89
PID: 13, Nombre: kworker/R-mm_percpu_wq, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.30, Turnaround: 8.30, Waiting: 7.30
PID: 14, Nombre: rcu_tasks_kthread, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.30, Turnaround: 8.30, Waiting: 7.30
PID: 15, Nombre: rcu_tasks_rude_kthread, CPU: 1, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.40, Turnaround: 8.40, Waiting: 7.40
PID: 16, Nombre: rcu_tasks_trace_kthread, CPU: 2, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.40, Turnaround: 8.40, Waiting: 7.40
PID: 19, Nombre: rcu_exp_par_gp_kthread_worker/0, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.40, Turnaround: 8.40, Waiting: 7.40
PID: 20, Nombre: rcu_exp_gp_kthread_worker, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 8.40, Turnaround: 8.40, Waiting: 7.40
